ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated,Year,Month,Hour,inter_arrival_minutes
84751410,Parking Meters,60.0,2024-01-01 09:34:00,2021-08-03 10:34:00,2.0,81002103,,,CARD,Butler Shores,5/4/2023 21:34,2021,August,9,1.0
84751415,Parking Meters,60.0,2024-01-01 09:34:00,2021-08-03 10:34:00,2.25,10000335,,,CARD,Core,5/4/2023 21:34,2021,August,9,0.0
84920383,Parking Meters,60.0,2024-01-01 09:34:00,2021-08-16 10:34:00,2.25,71002012,,,CARD,Toomey,5/4/2023 21:36,2021,August,9,0.0
84740190,Parking Meters,135.0,2024-01-01 09:35:00,2021-08-02 11:50:00,4.75,10000844,,,CARD,Core,6/9/2023 21:20,2021,August,9,1.0
84792001,Parking Meters,90.0,2024-01-01 09:36:00,2021-08-06 11:06:00,3.0,19001909,,,COINS,MoPac Lot,5/4/2023 21:34,2021,August,9,1.0
84777680,Parking Meters,127.5,2024-01-01 09:36:00,2021-08-05 11:43:00,4.25,24002472,,,COINS,East Austin,5/4/2023 21:34,2021,August,9,0.0
84792024,Parking Meters,75.0,2024-01-01 09:36:00,2021-08-06 10:51:00,2.75,35001533,,,CARD,West Campus,5/4/2023 21:34,2021,August,9,0.0
84807776,Parking Meters,442.85,2024-01-01 09:37:00,2021-08-07 17:00:00,19.25,10001004,,,CARD,Core,5/4/2023 21:34,2021,August,9,1.0
84777745,Parking Meters,135.0,2024-01-01 09:42:00,2021-08-05 11:57:00,4.75,10000214,,,CARD,Core,5/4/2023 21:34,2021,August,9,5.0
84740292,Parking Meters,165.0,2024-01-01 09:42:00,2021-08-02 12:27:00,6.25,20001708,,,CARD,Non-Core,6/9/2023 21:20,2021,August,9,0.0
84777748,Parking Meters,285.0,2024-01-01 09:42:00,2021-08-05 14:27:00,13.5,71002018,,,CARD,Toomey,5/4/2023 21:34,2021,August,9,0.0
84764030,Parking Meters,165.0,2024-01-01 09:43:00,2021-08-04 12:28:00,6.25,10001221,,,CARD,Core,5/4/2023 21:34,2021,August,9,1.0
84764039,Parking Meters,195.0,2024-01-01 09:44:00,2021-08-04 12:59:00,7.75,10000328,,,CARD,Core,5/4/2023 21:34,2021,August,9,1.0
84882747,Parking Meters,210.0,2024-01-01 09:48:00,2021-08-13 13:18:00,8.5,10000516,,,CARD,Core,5/4/2023 21:35,2021,August,9,4.0
